"filename", "language", "JSON", "Markdown", "Batch", "JavaScript", "comment", "blank", "total"
"c:\Users\Arian\Documents\bots\little devil\README.md", "Markdown", 0, 14, 0, 0, 0, 5, 19
"c:\Users\Arian\Documents\bots\little devil\main.js", "JavaScript", 0, 0, 0, 4, 0, 4, 8
"c:\Users\Arian\Documents\bots\little devil\package-lock.json", "JSON", 3443, 0, 0, 0, 0, 1, 3444
"c:\Users\Arian\Documents\bots\little devil\package.json", "JSON", 47, 0, 0, 0, 0, 1, 48
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\blacklist.js", "JavaScript", 0, 0, 0, 30, 0, 4, 34
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\db.js", "JavaScript", 0, 0, 0, 75, 0, 6, 81
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\demote.js", "JavaScript", 0, 0, 0, 48, 0, 11, 59
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\die.js", "JavaScript", 0, 0, 0, 15, 0, 3, 18
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\emit.js", "JavaScript", 0, 0, 0, 31, 0, 4, 35
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\load.js", "JavaScript", 0, 0, 0, 29, 0, 7, 36
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\log.js", "JavaScript", 0, 0, 0, 37, 0, 3, 40
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\makepm.js", "JavaScript", 0, 0, 0, 43, 0, 11, 54
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\promote.js", "JavaScript", 0, 0, 0, 79, 0, 12, 91
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\reload.js", "JavaScript", 0, 0, 0, 50, 0, 9, 59
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\test.js", "JavaScript", 0, 0, 0, 58, 0, 4, 62
"c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\test2.js", "JavaScript", 0, 0, 0, 20, 0, 2, 22
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\8ball.js", "JavaScript", 0, 0, 0, 22, 0, 6, 28
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\F.js", "JavaScript", 0, 0, 0, 30, 0, 7, 37
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\Topic.js", "JavaScript", 0, 0, 0, 21, 0, 2, 23
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\aww.js", "JavaScript", 0, 0, 0, 41, 0, 5, 46
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\coinFlip.js", "JavaScript", 0, 0, 0, 34, 0, 12, 46
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\cookie.js", "JavaScript", 0, 0, 0, 37, 0, 7, 44
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\dadjoke.js", "JavaScript", 0, 0, 0, 20, 0, 2, 22
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\fuck.js", "JavaScript", 0, 0, 0, 25, 0, 5, 30
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\gay.js", "JavaScript", 0, 0, 0, 28, 0, 4, 32
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\love.js", "JavaScript", 0, 0, 0, 44, 0, 7, 51
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\meme.js", "JavaScript", 0, 0, 0, 29, 0, 9, 38
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\pp.js", "JavaScript", 0, 0, 0, 32, 0, 6, 38
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\say.js", "JavaScript", 0, 0, 0, 31, 0, 7, 38
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\suffer.js", "JavaScript", 0, 0, 0, 42, 0, 7, 49
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\tags.js", "JavaScript", 0, 0, 0, 113, 0, 20, 133
"c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\zucc.js", "JavaScript", 0, 0, 0, 26, 0, 6, 32
"c:\Users\Arian\Documents\bots\little devil\src\commands\Music\goto.js", "JavaScript", 0, 0, 0, 27, 0, 5, 32
"c:\Users\Arian\Documents\bots\little devil\src\commands\Music\leave.js", "JavaScript", 0, 0, 0, 19, 0, 5, 24
"c:\Users\Arian\Documents\bots\little devil\src\commands\Music\pause.js", "JavaScript", 0, 0, 0, 30, 0, 5, 35
"c:\Users\Arian\Documents\bots\little devil\src\commands\Music\play.js", "JavaScript", 0, 0, 0, 97, 0, 17, 114
"c:\Users\Arian\Documents\bots\little devil\src\commands\Music\queue.js", "JavaScript", 0, 0, 0, 21, 0, 4, 25
"c:\Users\Arian\Documents\bots\little devil\src\commands\Music\reset.js", "JavaScript", 0, 0, 0, 22, 0, 8, 30
