Date : 2020-09-15 02:24:12
Directory : c:\Users\Arian\Documents\bots\little devil
Total : 107 files,  8508 codes, 35 comments, 866 blanks, all 9409 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        103 |      4,998 |         35 |        858 |      5,891 |
| JSON       |          2 |      3,490 |          0 |          2 |      3,492 |
| Markdown   |          1 |         14 |          0 |          5 |         19 |
| Batch      |          1 |          6 |          0 |          1 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |        107 |      8,508 |         35 |        866 |      9,409 |
| src                                                                               |        102 |      4,994 |         35 |        854 |      5,883 |
| src\commands                                                                      |         78 |      3,817 |         23 |        631 |      4,471 |
| src\commands\Admin                                                                |         12 |        515 |          0 |         76 |        591 |
| src\commands\Fun                                                                  |         16 |        575 |          0 |        112 |        687 |
| src\commands\Music                                                                |          8 |        257 |          0 |         52 |        309 |
| src\commands\level                                                                |          6 |        394 |          2 |         55 |        451 |
| src\commands\moderation                                                           |          9 |        551 |          8 |        108 |        667 |
| src\commands\settings                                                             |          7 |        466 |          3 |         64 |        533 |
| src\commands\utility                                                              |         20 |      1,059 |         10 |        164 |      1,233 |
| src\inhibitor                                                                     |          1 |         13 |          0 |          2 |         15 |
| src\listeners                                                                     |         16 |        516 |         11 |        126 |        653 |
| src\listeners\client                                                              |          2 |         39 |          0 |         10 |         49 |
| src\listeners\command                                                             |          3 |         52 |          0 |         13 |         65 |
| src\listeners\server                                                              |         11 |        425 |         11 |        103 |        539 |
| src\models                                                                        |          1 |         22 |          0 |          5 |         27 |
| src\structures                                                                    |          6 |        626 |          1 |         90 |        717 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                          | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Arian\Documents\bots\little devil\README.md                              | Markdown   |         14 |          0 |          5 |         19 |
| c:\Users\Arian\Documents\bots\little devil\main.js                                | JavaScript |          4 |          0 |          4 |          8 |
| c:\Users\Arian\Documents\bots\little devil\package-lock.json                      | JSON       |      3,443 |          0 |          1 |      3,444 |
| c:\Users\Arian\Documents\bots\little devil\package.json                           | JSON       |         47 |          0 |          1 |         48 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\blacklist.js        | JavaScript |         30 |          0 |          4 |         34 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\db.js               | JavaScript |         75 |          0 |          6 |         81 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\demote.js           | JavaScript |         48 |          0 |         11 |         59 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\die.js              | JavaScript |         15 |          0 |          3 |         18 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\emit.js             | JavaScript |         31 |          0 |          4 |         35 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\load.js             | JavaScript |         29 |          0 |          7 |         36 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\log.js              | JavaScript |         37 |          0 |          3 |         40 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\makepm.js           | JavaScript |         43 |          0 |         11 |         54 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\promote.js          | JavaScript |         79 |          0 |         12 |         91 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\reload.js           | JavaScript |         50 |          0 |          9 |         59 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\test.js             | JavaScript |         58 |          0 |          4 |         62 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Admin\test2.js            | JavaScript |         20 |          0 |          2 |         22 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\8ball.js              | JavaScript |         22 |          0 |          6 |         28 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\F.js                  | JavaScript |         30 |          0 |          7 |         37 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\Topic.js              | JavaScript |         21 |          0 |          2 |         23 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\aww.js                | JavaScript |         41 |          0 |          5 |         46 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\coinFlip.js           | JavaScript |         34 |          0 |         12 |         46 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\cookie.js             | JavaScript |         37 |          0 |          7 |         44 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\dadjoke.js            | JavaScript |         20 |          0 |          2 |         22 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\fuck.js               | JavaScript |         25 |          0 |          5 |         30 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\gay.js                | JavaScript |         28 |          0 |          4 |         32 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\love.js               | JavaScript |         44 |          0 |          7 |         51 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\meme.js               | JavaScript |         29 |          0 |          9 |         38 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\pp.js                 | JavaScript |         32 |          0 |          6 |         38 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\say.js                | JavaScript |         31 |          0 |          7 |         38 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\suffer.js             | JavaScript |         42 |          0 |          7 |         49 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\tags.js               | JavaScript |        113 |          0 |         20 |        133 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Fun\zucc.js               | JavaScript |         26 |          0 |          6 |         32 |
| c:\Users\Arian\Documents\bots\little devil\src\commands\Music\goto.js             | JavaScript |         27 |          0 |          5 |         32 |
